book_title,book_author,book_translator,book_pub_date,book_isbn
"프로그래밍 면접, 이렇게 준비한다(3판)","존 몽건 , 에릭 기게리 , 노아 수요야넨 킨들러 ",서환수 ,2014-02-28,9788968480843
더 저널리스트,어니스트 헤밍웨이 ,김영진 ,2017-08-15,9791157842018
5초의 법칙,멜 로빈스 ,이지연 ,2017-09-01,9791157842049
미라클 라이프,할 엘로드 ,전행선 ,2017-10-23,9791157842087
밑바닥부터 시작하는 딥러닝,사이토 고키 ,개앞맵시(이복연) ,2017-01-03,9788968484636
"내 가게, 소셜커머스로 대박나기 : 소상공인을 위한 소셜커머스 활용 가이드 북","손미향 , 구현아 , 이지인 ",,2011-08-23,9788979148473
딥러닝 첫걸음,김성필 ,,2016-12-30,9788968487323
페이스북 시대: 소셜 네트워크를 활용한 비즈니스와 마케팅,클라라 샤이(Clara Shih) ,전성민 ,2010-11-23,9788979147902
가장 쉽게 배우는 블로그 & 페이스북,"강진영 , 박순녀 ",,2015-11-26,9788968482441
텐서플로 첫걸음,조르디 토레스 ,박해선 ,2016-08-29,9788968484902
지금 당장 소셜마케팅 시작하라,조재형 ,,2014-02-25,9788994120744
고양이 부처는 고민이 없다냥,미야시타 마코토 ,김희은 ,2017-03-17,9791157841752
유방암을 이겨낸 사람들,질병체험이야기 연구팀 ,,2015-09-11,9791185933221
위암을 이겨낸 사람들,질병체험이야기 연구팀 ,,2015-09-11,9791185933238
더 잘 검색되고 더 정확히 도달되는  유튜브 상위 노출의 모든 것,"민진홍 , 최규문 ",,2019-09-03,9791162242155
신경망 첫걸음,타리크 라시드 ,송교석 ,2017-04-03,9788968483509
코딩의 기술 : C와 C++ 게임 코드로 알아보는,오즈 모리하루 ,윤인성 ,2016-03-28,9788968482694
Make: 라즈베리 파이 로봇,볼프람 도낫 ,이하영 ,2015-08-27,9788968482144
우울증을 이겨낸 사람들,질병체험이야기 연구팀 ,,2015-09-11,9791185933245
파이썬 라이브러리를 활용한 데이터 분석(수정보완판),웨스 맥키니(Wes Mckinney) ,김영근 ,2013-10-26,9788968480478
33가지 프로젝트로 배우는 아두이노,사이먼 몽크 ,윤진서 ,2014-05-20,9788968481000
9가지 사례로 익히는 고급 스파크 분석,"샌디 라이자 , 유리 레이저슨 , 션 오언 , 조시 윌스 ","서양주 , 권한철 , 박상은 ",2016-07-01,9788968482892
좋은 코딩 나쁜 코딩 : 단순한 코드가 좋은 코드다 (2판),박진수 ,,2013-10-10,9788968480560
라즈베리 파이 쿡북,사이먼 몽크 ,"박경욱 , 백운혁 , 유시형 , 윤종우 ",2014-12-26,9788968481536
미라클 모닝 밀리어네어,"할 엘로드 , 데이비드 오스본 ",이주만 ,2019-04-01,9791157843244
프로젝트로 배우는 라즈베리 파이,도날드 노리스 ,임지순 ,2015-04-24,9788968481888
칼만 필터는 어렵지 않아 with MATLAB Examples,김성필 ,,2019-05-20,9791156644415
기적의 매출을 위한 미라클 모닝,"할 엘로드 , 라이언 스노우 ",김현수 ,2019-06-30,9791157843411
헬로 데이터 과학 : 삶과 업무를 바꾸는 생활 데이터 활용법,김진영 ,,2016-02-23,9788968482656
밑바닥부터 시작하는 딥러닝 2,사이토 고키 ,개앞맵시(이복연) ,2019-05-01,9791162241745
밑바닥부터 시작하는 딥러닝 3,사이토 고키 ,개앞맵시(이복연) ,2020-11-20,9791162243596
미라클 모닝 기적의 공식(개정판),할 엘로드 ,김잔디 ,2020-07-15,9791157844296
당뇨를 이겨낸 사람들,질병체험이야기 연구팀 ,,2015-09-11,9791185933214
혼자 배우는 영문 캘리그라피,티애 김은정 ,,2015-09-17,9791185933276
어쩌다 엄마,전투육아블로그 서현정 ,,2015-10-16,9791185933207
특별한 날에 캘리그라피,티애 김은정 ,,2015-09-17,9791185933283
겨울날 눈송이처럼 너를 사랑해,이야기꽃 ,,2015-11-25,9791185933313
프렌치 스타일 크리스마스 장식,아나벨 르샤 ,오보배 ,2015-12-11,9791185933184
"프로그래밍 면접, 이렇게 준비한다(4판)","존 몽건 , 노아 킨들러 , 에릭 기게리 ",서환수 ,2019-07-04,9791162241998
밑바닥부터 시작하는 딥러닝,사이토 고키 ,개앞맵시(이복연) ,2017-01-03,9788968484636
Head First Data Analysis : 당신을 최고의 데이터 분석가로 이끌어줄 마법 같은 학습서,마이클 밀튼 ,김경태 ,2013-04-11,9788968480119
텐서플로 첫걸음,조르디 토레스 ,박해선 ,2016-08-29,9788968484902
Make: 액션,사이먼 몽크 ,임지순 ,2016-12-06,9788968484674
R로 배우는 데이터 분석 기본기 데이터 시각화 : 예제와 함수 중심으로 배우는 빅데이터 분석,후나오 노부오 ,김성재 ,2014-01-02,9788968480645
딥러닝 첫걸음,김성필 ,,2016-12-30,9788968487323
읽기 좋은 자바스크립트 코딩 기법: 유지보수가 쉬운 코드로 팀의 생산성을 높이자,니콜라스 자카스 ,김광호 ,2013-01-26,9788979149883
실시간 분석의 모든 것: 스트리밍 데이터 분석 및 시각화 시스템 구축 가이드,바이런 엘리스 ,이상훈 ,2015-12-11,9788968482298
훌륭한 프로그래머 되는 법 : 프로젝트와 팀을 성공으로 이끄는 선배 개발자의 노하우,피트 구들리프 ,"최원재 , 강전희 , 안재덕 , 남윤화 ",2015-12-04,9788968482304
데이터 분석을 통한 네트워크 보안 : IoT 시대에 맞는 상황 인식형 보안 구축하기,마이클 콜린스 ,문성건 ,2016-03-28,9788968482588
파이썬을 활용한 금융 분석,이브 힐피시 ,김도형 ,2016-05-18,9788968482779
미라클 이퀘이션,할 엘로드 ,김잔디 ,2020-01-20,9791157843817
9가지 사례로 익히는 고급 스파크 분석(2판),"샌디 라이자 , 유리 레이저슨 , 션 오언 , 조시 윌스 ","박상은 , 권한철 , 서양주 ",2018-03-05,9791162240526
비즈니스 활용 사례로 배우는 데이터 분석:R,"사카마키 류지 , 사토 요헤이 ",손정도 ,2015-10-28,9788968482113
파이썬을 활용한 베이지안 통계: 동전 던지기와 하키 승률로 배우는 데이터 분석,앨런 B. 다우니 ,권정민 ,2014-07-14,9788968481147
영어 못하는 서율맘은 어떻게 영어 영재를 키웠나,송후정 ,,2016-01-28,9791185933320
밑바닥부터 시작하는 딥러닝 3,사이토 고키 ,개앞맵시(이복연) ,2020-11-20,9791162243596
함께한 시간만큼 자라는 아이들,장윤희 ,,2015-12-28,9791185933290
초등학교 입학&생활 가이드,"조항미 , 강화진 , 이진화 , 주슬기 ",,2016-01-28,9791185933344
밑바닥부터 시작하는 딥러닝 2,사이토 고키 ,개앞맵시(이복연) ,2019-05-01,9791162241745
파이썬 라이브러리를 활용한 데이터 분석(2판),웨스 맥키니 ,김영근 ,2019-05-20,9791162241905
비즈니스를 위한 데이터 과학 : 빅데이터를 바라보는 데이터 마이닝과 분석적 사고,"포스터 프로보스트 , 톰 포셋 ",강권학 ,2014-06-24,9788968481093
GAN 첫걸음,타리크 라시드 ,고락윤 ,2021-03-10,9791162243954
더 나은 프로그래밍을 위한 코드골프 : 즐기면서 배우는 자바스크립트 코드 퍼즐과 알고리즘,야나이 마사카즈 ,"손정도 , 김정현 ",2015-01-28,9788968481673
파이썬 날코딩으로 알고 짜는 딥러닝,윤덕호 ,,2019-07-15,9791162242001
"데이터과학 입문: 구글, MS, 이베이 데이터과학자에게 배우다","레이철 슈트 , 캐시 오닐 ","윤영민 , 허선 , 전희주 , 김정일 , 류자현 ",2014-10-28,9788968481352
뇌를 자극하는 파이썬 3,박상현 ,,2016-02-05,9788968482359
파이썬 라이브러리를 활용한 데이터 분석(수정보완판),웨스 맥키니(Wes Mckinney) ,김영근 ,2013-10-26,9788968480478
나는 프로그래머다,임백준외 6명 ,,2004-03-16,8979142749
미라클 모닝 다이어리,할 엘로드 ,이현주 ,2016-11-16,9791157841554
칼만 필터는 어렵지 않아 with MATLAB Examples,김성필 ,,2019-05-20,9791156644415
Head First Python : 머리에 쏙쏙 들어오는 파이썬 안내서(수정판),폴 베리 ,강권학 ,2016-03-28,9788968482724
헬로 데이터 과학 : 삶과 업무를 바꾸는 생활 데이터 활용법,김진영 ,,2016-02-23,9788968482656
기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수 ,,2013-08-21,9788998756543
Head First Statistics: 실생활 예제로 배우는 정말 쉬운 통계 이야기,돈 그리피스 ,임백준 ,2012-04-26,9788979147278
이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics,안승철 ,,2014-07-10,9791156641223
Think Stats : 프로그래머를 위한 통계 및 데이터 분석 방법,앨런 B. 다우니 ,김석우 ,2013-09-03,9788968486340
회사에서 바로 통하는 엑셀 실무 데이터 분석,최준선 ,,2012-11-20,9788979149807
Head First Programming : 파이썬으로 처음 배우는 프로그래밍,"폴 배리 , 데이빗 그리피스 ",강권학 ,2011-03-17,9788979148190
자바로 배우는 핵심 자료구조와 알고리즘,앨런 B. 다우니 ,유동환 ,2018-06-01,9791162240847
너에게 한번뿐인 일곱살엔,권지영 ,,2015-11-12,9791185933306
프로그래머로 사는 법: 프로그래머의 길을 걸어가는 당신을 위한 안내서,샘 라이트스톤 ,서환수 ,2012-10-17,9788979149623
Programming Challenges: 알고리즘 트레이닝 북,"스티븐 스키에나 , 미구엘 레비야 ",서환수 ,2004-07-14,8979142889
"팟캐스트 나는 프로그래머다: 뉴욕, 서울, 도쿄 개발자의 촌철살인 IT 이야기","임백준 , 정도현 , 김호광 ",,2015-10-19,9788968482281
TopCoder 탑코더 알고리즘 트레이닝,타카하시 나오히로 ,윤인성 ,2013-10-28,9788968480553
뇌를 자극하는 알고리즘,박상현 ,,2009-09-04,9788979146875
누워서 읽는 알고리즘: 프로그래밍 상상력을 키워주는 알고리즘 이야기,임백준 ,,2015-10-16,9788968482274
프로그래머의 리더십,정영훈 ,,2015-01-05,9788968481512
9가지 사례로 익히는 고급 스파크 분석(2판),"샌디 라이자 , 유리 레이저슨 , 션 오언 , 조시 윌스 ","박상은 , 권한철 , 서양주 ",2018-03-05,9791162240526
회사에서 바로 통하는 엑셀 2013,한은숙 ,,2014-07-09,9788968481079
R로 배우는 데이터 분석 기본기 데이터 시각화 : 예제와 함수 중심으로 배우는 빅데이터 분석,후나오 노부오 ,김성재 ,2014-01-02,9788968480645
데이터 분석을 통한 네트워크 보안 : IoT 시대에 맞는 상황 인식형 보안 구축하기,마이클 콜린스 ,문성건 ,2016-03-28,9788968482588
Head First C : 내공 있는 C 프로그래머로 이끌어주는 착한 안내서,"데이빗 그리피스 , 돈 그리피스 ",강권학 ,2012-11-08,9788979149760
엑셀 매크로&VBA 바이블: 회사에서 필요한 코드는 모두 있다!,최준선 ,,2012-06-28,9788979149357
엑셀 함수&수식 바이블: 회사에서 필요한 함수&수식은 모두 있다!,최준선 ,,2015-04-28,9788968481826
Head First Data Analysis : 당신을 최고의 데이터 분석가로 이끌어줄 마법 같은 학습서,마이클 밀튼 ,김경태 ,2013-04-11,9788968480119
엑셀 2016 매크로&VBA 바이블,최준선 ,,2016-02-26,9788968482670
엑셀 바이블 : 실무에 최적화된 엑셀 사용서(모든 버전 사용 가능),최준선 ,,2019-05-08,9791162241813
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV1. 모두를 위한 파이썬 기초",크리스 로피 ,유형목 ,2015-08-26,9788968482168
Head First Android Development : 개념과 구조를 머릿속에 그려주는 안드로이드 개발 입문서(개정판),"돈 그리피스 , 데이비드 그리피스 ",우정은 ,2018-07-15,9791162240953
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV2. 본격 파이썬 입문",크리스 로피 ,"이지호 , 유형목 ",2015-08-26,9788968482175
엑셀 매크로&VBA 바이블,최준선 ,,2019-09-10,9791162242209
알고리즘 문제 풀이 전략,"조중필 , 한현상 , 이주호 ",,2016-06-01,9788968482700
프로그래밍은 상상이다,임백준 ,,2008-09-01,9788979145946
폴리글랏 프로그래밍 : 새로운 자바 언어를 기다리는 히치하이커를 위한 안내서,임백준 ,,2014-03-18,9788968480867
Hello Coding 그림으로 개념을 이해하는 알고리즘,아디트야 바르가바 ,김도형 ,2017-04-01,9788968483547
임백준의 아카 시작하기 : Akka 개념 잡기,임백준 ,,2015-10-29,9788968487897
The Art of Computer Programming 1: 기초 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2006-09-28,9788979144307
The Art of Computer Programming 2: 준수치적 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2007-09-14,9788979144840
The Art of Computer Programming 3: 정렬과 검색(개정 2판),도널드 커누스(Donald E. Knuth)) ,류광 ,2008-01-01,9788979145496
The Art of Computer Programming 4A 컴퓨터 프로그래밍의 예술: 조합적 알고리즘 1부,도널드 커누스(Donald E. Knuth) ,류광 ,2013-08-19,9788968480287
데이터 시각화를 위한 데이터 인사이트 : 빅데이터를 바라보는 통찰의 눈,헌터 휘트니 ,한선용 ,2014-04-18,9788968480942
"Blog2Book, 프로젝트 관리자PM를 위한 프로젝트 관리 이야기",신진현 ,,2015-02-27,9788968481048
드림팀의 악몽: 산으로 가는 팀 프로젝트를 바로잡는 애자일 코칭법,포샤 텅 ,김광호 ,2014-05-16,9788968480973
비즈니스를 위한 데이터 과학 : 빅데이터를 바라보는 데이터 마이닝과 분석적 사고,"포스터 프로보스트 , 톰 포셋 ",강권학 ,2014-06-24,9788968481093
뇌를 자극하는 C 프로그래밍,서현우 ,,2005-10-01,8979143443
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV4. 파이썬 프로그래밍 아트",크리스 로피 ,유형목 ,2016-09-28,9788968484797
"데이터과학 입문: 구글, MS, 이베이 데이터과학자에게 배우다","레이철 슈트 , 캐시 오닐 ","윤영민 , 허선 , 전희주 , 김정일 , 류자현 ",2014-10-28,9788968481352
이것이 C 언어다,서현우 ,,2014-05-20,9788968481024
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV3. 제대로 된 파이썬 앱 만들기",크리스 로피 ,"이지호 , 유형목 ",2015-11-06,9788968482335
"안드로이드 프로그래밍 정복 4판, 1권",김상형 ,,2016-01-22,9788968482526
"안드로이드 프로그래밍 정복 4판, 2권",김상형 ,,2016-01-22,9788968482533
이것이 안드로이드다,박성근 ,,2014-08-25,9788968481178
브루스 테이트의 세븐 랭귀지 : 프로그래머라면 알아야 할 미래를 품은 7가지 언어,브루스 테이트 ,임백준 ,2015-04-27,9788968481857
"자바 8 인 액션 : 람다, 스트림, 함수형 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",우정은 ,2015-03-19,9788968481796
파이썬으로 배우는 프로그래밍 기초,크리스 로피 ,"유형목 , 이지호 ",2016-08-18,9788968484940
엑셀 2016 함수&수식 바이블,최준선 ,,2018-05-04,9791162240724
회사에서 바로 통하는 엑셀 2013 & 한글 2014,"전미진 , 신면철 ",,2015-06-28,9788968482076
이것이 자바다,신용권 ,,2015-01-06,9788968481475
엑셀 2013 바이블 : 회사에서 필요한 기능은 모두 있다,최준선 ,,2013-06-25,9788968480270
"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지",하숙정 ,,2015-02-16,9791156641506
"(꼬마해커의 작업실, 수프) 스크래치 : 창의력과 문제해결능력 향상을 위한 첫걸음","김종훈 , 양영훈 ",,2014-03-20,9788968480829
"Head First PMP : 체계적인 프로젝트 관리를 위한 국제 공인 학습법 (개정3판, PMBOK® 지침서 5판 시험대비용)","제니퍼 그린 , 앤드류 스텔만 ","한동환 , 김기평 ",2014-09-12,9788968481154
"(10대를 위한 프로그래밍 노트, 수프) 프로그래밍 비타민 : 컴퓨팅 사고력을 키우는 22가지 이야기",김종훈 ,,2015-07-28,9788968482106
